X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
X, B, S, C, R, C, C, R, C, C, C, C, C, C, C, C, C, C, C, R, C, X
X, R, C, C, M, C, R, M, C, C, C, R, C, C, M, R, C, C, M, C, C, X
X, S, C, C, C, C, C, C, C, C, R, C, C, C, C, C, C, C, C, C, C, X
X, M, C, C, C, C, C, C, M, C, C, M, M, C, C, C, C, R, C, C, C, X
X, C, C, C, C, R, C, C, C, R, C, C, M, R, C, C, C, C, C, R, C, X
X, M, R, M, C, C, C, C, C, C, C, M, M, C, C, C, C, C, C, C, C, X
X, M, C, M, R, C, C, C, C, C, R, M, M, C, R, M, C, C, R, C, C, X
X, C, C, M, C, C, M, C, C, M, C, C, C, C, C, C, R, C, M, C, C, X
X, C, C, M, C, C, M, C, C, C, M, C, M, R, C, C, C, C, C, C, M, X
X, C, C, M, R, C, M, R, M, M, C, C, M, C, R, C, C, R, C, M, C, X
X, R, C, C, C, C, M, M, C, C, C, R, M, C, M, C, M, M, C, C, C, X
X, C, C, C, C, C, C, C, C, C, C, C, M, C, C, C, M, C, C, C, C, X
X, M, R, C, C, C, C, C, C, C, C, M, M, C, C, M, M, C, C, C, C, X
X, C, C, R, C, C, M, C, C, R, C, C, M, R, C, C, M, C, C, C, C, X
X, M, R, C, C, C, C, C, C, C, C, C, M, C, C, C, M, R, C, R, C, X
X, M, R, C, R, M, M, C, R, C, C, M, M, C, C, M, M, R, C, R, C, X
X, C, C, C, R, C, M, R, C, M, C, C, M, C, R, C, M, R, C, R, C, X
X, C, C, C, C, C, M, C, C, C, M, C, C, C, C, C, M, G, C, C, M, X
X, C, C, R, C, C, M, C, C, C, M, C, C, R, C, C, M, C, C, C, M, X
X, C, C, R, C, C, M, C, C, C, M, C, C, R, C, C, M, C, C, C, M, X
X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
